Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,WLD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,3.067741218,2.9331829484000003,2.7986246788,2.6640664092,2.5295081396,2.39494987,2.6331951332,2.8714403964,3.1096856596,3.3479309228,3.586176186,3.6929079158,3.7996396456,3.9063713754,4.0131031052,4.119834835,4.023355016,3.926875197,3.830395378,3.733915559,3.63743574,3.4204697,3.3626512676666667,3.3048328353333334,3.247014403,3.189195970666667,3.131377538333333,3.073559106,3.0157406736666665,2.9579222413333333,2.900103809,2.768852478,2.669518489,2.891210548,2.761350217,2.631489886,2.67138903,2.67650442,2.653167978,2.607104297,2.620083687,2.68405409,2.778955771,2.816237694,2.767637159,2.693567832,2.725942013,2.881120239,2.916509522357615,2.9523334982211566,2.9885975059916174,3.0253069506547487,3.0624673035866508
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.170626998,0.1734642983,0.1763015986,0.1791388989,0.1819761992,0.1848134995,0.1876507998,0.1904881001,0.1933254004,0.1961627007,0.199000001,0.205963636,0.212927271,0.219890906,0.226854541,0.233818176,0.240781811,0.247745446,0.254709081,0.261672716,0.268636351,0.275599986,0.281183322,0.286766658,0.292349994,0.29793333,0.303516666,0.309100002,0.2893333336666666,0.2695666653333333,0.249799997,0.2548199973,0.2598399976,0.2648599979,0.2698799981999999,0.2748999985,0.2799199988,0.2849399991,0.2899599994,0.2949799997,0.3,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.53,0.53,0.5,0.5,0.5,0.39,0.3853162092624357,0.38068866953941827,0.3761167052720224,0.3715996490145959,0.3671368413373223
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.102675915,5.0611271145,5.019578314,4.9780295135,4.936480713,4.8949319125,4.853383112,4.8118343115,4.770285511,4.7287367105,4.6871879100000005,4.6456391095,4.604090309,4.5625415085,4.520992708,4.4794439075,4.437895107,4.3963463065,4.354797506000001,4.3132487055,4.271699905,4.187099934,4.160699844,4.086200237,4.138999939,4.138800144,4.069699764,3.970000029,3.935499907,4.132100105,4.02489996,3.998699904,4.013400078,3.831399918,3.017100096,3.190000057,3.140000105,3.049999952,3.049999952,3.029999971,3.26,3.26,3.14,3.07,3.01,3.08,3.12,3.09,3.05,3.01,2.99,2.88,2.88,2.89,2.8581997252667155,2.826749366614092,2.795645073721197,2.764883038634315,2.7344594953007615,2.704370719107819,2.674613026426753,2.6451827741618423,2.6160763593043685
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.187407494,3.1529167417,3.1184259894,3.0839352371,3.0494444848,3.0149537325,2.9804629802,2.9459722279,2.9114814756,2.8769907233,2.842499971,2.8203687216875,2.798237472375,2.7761062230625,2.75397497375,2.7318437244375,2.709712475125,2.6875812258125,2.6654499765,2.6433187271875,2.621187477875,2.5990562285625,2.57692497925,2.5547937299375,2.532662480625,2.5105312313125,2.488399982,2.5586999655,2.628999949,2.564399958,2.499300003,2.400274992,2.301249981,2.20222497,2.103199959,2.1023999455,2.101599932,2.1007999185,2.099999905,2.0333332541666667,1.966666603333333,1.8999999525,1.8333333016666664,1.7666666508333333,1.7,1.718181818181818,1.7363636363636363,1.7545454545454544,1.7727272727272727,1.7909090909090908,1.809090909090909,1.8272727272727272,1.8454545454545452,1.8636363636363635,1.8818181818181816,1.9,1.9188172625394155,1.937820887904872,1.9570127218006976,1.9763946282107505,1.9959684895794516,2.0157362069946188,2.0356997003721045
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.180000067,3.0,3.089999914,3.200000048,3.200000048,2.589999914,2.944999933,3.299999952,2.999999976,2.7,2.6,2.6,2.55,2.5,2.3888396970151087,2.2826220392140946,2.1811272562224833,2.0841453495623647,1.991475658153603,1.902926443134647,1.8183144911439237,1.7374647352409727,1.6602098926829925,1.5863901188073306,1.5158526763037863,1.4484516191924315,1.3840474908530767
Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.061461687,2.1274155139,2.1933693408,2.2593231677,2.3252769946,2.3912308215,2.4571846484,2.5231384753,2.5890923022,2.6550461291,2.720999956,2.6495149611,2.5780299662,2.5065449713,2.4350599764,2.3635749815,2.2920899866,2.2206049917,2.1491199968,2.0776350019,2.006150007,1.9346650121,1.8631800172,1.7916950223,1.7202100274,1.6487250325,1.5772400376,1.5057550427,1.4342700478,1.3627850529,1.291300058,1.2585467208,1.2257933836,1.1930400464,1.1602867092,1.127533372,1.0947800348,1.0620266976,1.0292733604,0.9965200232,0.963766686,0.9310133488,0.8982600116000001,0.8655066744000001,0.8327533372000001,0.8,0.7712439766571095,0.7435215894123401,0.7167956841859848,0.6910304424028157,0.6661913329873366,0.6422450660845676,0.6191595484443375,0.5969038404092889,0.5754481144489508,0.5547636151843054,0.5348226208492727,0.5155984061374632,0.49706520638440566,0.47919818303724493,0.4619733903656328,0.4453677433691973,0.42935898683857837
Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.706421852,7.5887796878,7.4711375236,7.3534953594,7.2358531952,7.118211031,7.0005688668,6.8829267026,6.7652845384,6.6476423742,6.53000021,6.53350019475,6.5370001795,6.54050016425,6.544000149,6.54750013375,6.5510001185,6.55450010325,6.558000088,6.56150007275,6.5650000575,6.56850004225,6.572000027,6.57550001175,6.5789999965,6.58249998125,6.585999966,6.58949995075,6.5929999355,6.596499920249999,6.599999905,6.434933344666667,6.269866784333333,6.104800224,5.363200187333334,4.621600150666667,3.880000114,3.6240000912,3.3680000684,3.1120000456,2.8560000228,2.6,2.3,2.5,2.4,2.4,2.4,2.0,1.7,2.2,2.2,2.666666666666667,3.1333333333333333,3.6,3.55,3.61,3.01,2.89,2.948222226105398,3.007617402941822,3.0682091608908215,3.1300216063939486,3.1930793315435153
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.352250576,6.2756055355,6.198960495000001,6.1223154545,6.045670414,5.9690253735,5.892380333,5.8157352925,5.739090252,5.6624452115,5.585800171,5.5362251521,5.4866501332,5.4370751143,5.3875000954,5.3379250765,5.2883500576,5.2387750387,5.1892000198,5.1396250009,5.090049982,5.0404749631,4.990899944200001,4.9413249253,4.8917499064,4.842174887500001,4.7925998686,4.7430248497,4.6934498308000006,4.6438748119,4.594299793,4.596199830333333,4.598099867666667,4.599999905,4.163333257333333,3.7266666096666663,3.289999962,3.4924999715,3.694999981,3.8974999905,4.1,4.08,4.06,4.04,4.02,4.0,4.1,4.2,4.3,4.4,4.5,4.39,4.59,4.78,4.84,4.96,4.95,4.99,5.09841838768689,5.2091923959727024,5.322373205736664,5.438013109871709,5.556165537445349
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,8.395400047,8.578399658,8.682800293,8.548100471,8.660099983,8.699199677,9.024200439,8.996600151,9.190400124,9.03579998,9.094799995,8.529299736,8.367699623,8.214699745,7.765999794,7.639999867,7.130000114,6.75,6.659999847,6.199999809,6.44,5.03,4.35,4.42,4.44,4.46,4.42,4.07,3.82,3.72,3.73,3.74,4.05,4.06,4.16,4.2,4.287480330010498,4.376782757196889,4.467945233383518,4.5610065008800005,4.656006108945956,4.752984430598692,4.851982679770962
