Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,WLD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,65.58654785,65.87832642,66.5010376,67.15500641,67.58338165,68.29190826,68.8494873,69.55039978,70.20851898,70.80339813,71.35791779,72.04868317,73.77015686,74.30384064,74.6057663,75.19876099,75.64575195,76.38834374561036,77.13822534349897,77.89546830548166,78.66014489587512,79.43232808839343,80.21209157311175,80.99950976349882,81.7946578035182,82.59761157479932,83.40844770387893,84.22724356951373,85.05407731006453,85.88902783095311,86.73217481219237,87.58359871599,88.44338079442728,89.31160309721297,90.18834847951328,91.07370060985896,91.96774397812975,92.87056390361734,93.7822465431675,94.70287889940205,95.63254882902162,96.57134505118988,97.51935715600008,98.47667561302468,99.44339177994904,100.41959791128956,101.40538716719786
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,18.15768051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.63087845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,97.34416199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,93.91285706,94.10629897090908,94.29974088181818,94.49318279272728,94.68662470363635,94.88006661454546,95.07350852545454,95.26695043636364,95.46039234727272,95.65383425818182,95.84727616909092,96.04071808,96.2353375672381,96.43035143662549,96.62576048734867,96.82156552021374,97.01776733764953,97.21436674371095,97.41136454408223,97.60876154608029,97.80655855865803,98.0047563924076,98.2033558595638,98.40235777400733,98.60176295126813,98.80157220852882,99.00178636462796,99.20240624006341,99.40343265699572,99.60486643925147,99.80670841232666,100.00895940339016,100.21162024128698,100.41469175654173,100.618174781362,100.82207014964186,101.02637869696512,101.2311012606089,101.43623867954695,101.64179179445318,101.84776144770505,102.05414848338705,102.26095374729412
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75196075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
