Year,State Code,STATE,Districts,PRIMARY SECTOR,SECONDARY SECTOR,TERTIARY SECTOR,TOTAL CURRENT PRICES,PER CAPITA CURRENT PRICES
2007,14,CHHATTISGARH,DURG,18741,56724,41217,116682,37
2008,14,CHHATTISGARH,DURG,18452,70733,48798,137984,43
2009,14,CHHATTISGARH,DURG,22189,66129,53504,141821,44
2010,14,CHHATTISGARH,DURG,38443,72208,62605,173256,53
2011,14,CHHATTISGARH,DURG,42470,76354,71531,190355,57
2012,14,CHHATTISGARH,DURG,50836,86859,81376,219071,64
2013,14,CHHATTISGARH,DURG,55064,96777,95022,246863,71
2007,14,CHHATTISGARH,BASTAR,14937,6315,10285,31537,24
2008,14,CHHATTISGARH,BASTAR,14884,8550,12299,35732,27
2009,14,CHHATTISGARH,BASTAR,15356,8538,13816,37710,28
2010,14,CHHATTISGARH,BASTAR,16038,9645,16444,42127,30
2011,14,CHHATTISGARH,BASTAR,17737,10099,18813,46649,33
2012,14,CHHATTISGARH,BASTAR,21663,11452,21430,54544,38
2013,14,CHHATTISGARH,BASTAR,23877,13211,25092,62179,43
2007,14,CHHATTISGARH,RAIPUR,20297,90261,68026,178584,50
2008,14,CHHATTISGARH,RAIPUR,20386,111703,85849,217938,59
2009,14,CHHATTISGARH,RAIPUR,24223,101922,99512,225657,59
2010,14,CHHATTISGARH,RAIPUR,31343,109741,127346,268431,68
2011,14,CHHATTISGARH,RAIPUR,34593,120487,151359,306439,75
2012,14,CHHATTISGARH,RAIPUR,41441,139099,184343,364883,87
2013,14,CHHATTISGARH,RAIPUR,44838,154892,223567,423297,98
2007,14,CHHATTISGARH,BILASPUR,16084,23438,32190,71711,30
2008,14,CHHATTISGARH,BILASPUR,16509,31260,40357,88126,36
2009,14,CHHATTISGARH,BILASPUR,25729,30609,46891,103230,41
2010,14,CHHATTISGARH,BILASPUR,28074,34355,58478,120906,47
2011,14,CHHATTISGARH,BILASPUR,31375,37449,68419,137242,52
2012,14,CHHATTISGARH,BILASPUR,38093,42751,81767,162612,59
2013,14,CHHATTISGARH,BILASPUR,41773,49098,97824,188695,67
2007,14,CHHATTISGARH,RAIGARH,8968,40970,13378,63315,45
2008,14,CHHATTISGARH,RAIGARH,8848,52396,16235,77479,55
2009,14,CHHATTISGARH,RAIGARH,9326,43090,18556,70972,49
2010,14,CHHATTISGARH,RAIGARH,13793,45947,22557,82296,56
2011,14,CHHATTISGARH,RAIGARH,14955,45861,26084,86900,58
2012,14,CHHATTISGARH,RAIGARH,17616,49469,30275,97360,64
2013,14,CHHATTISGARH,RAIGARH,18742,54457,35540,108738,70
2007,14,CHHATTISGARH,SURGUJA,15030,11332,13622,39984,18
2008,14,CHHATTISGARH,SURGUJA,14694,15251,16347,46292,21
2009,14,CHHATTISGARH,SURGUJA,13739,13999,18605,46343,20
2010,14,CHHATTISGARH,SURGUJA,20758,16674,22701,60133,26
2011,14,CHHATTISGARH,SURGUJA,22083,18192,26149,66424,28
2012,14,CHHATTISGARH,SURGUJA,25862,20047,30310,76220,32
2013,14,CHHATTISGARH,SURGUJA,27222,23178,36004,86404,35
2007,6,MADHYA PRADESH,JABALPUR,5086,20565,56187,81837,35
2008,6,MADHYA PRADESH,JABALPUR,6166,26999,69138,102302,43
2009,6,MADHYA PRADESH,JABALPUR,6752,29899,78142,114793,48
2010,6,MADHYA PRADESH,JABALPUR,8145,35744,95445,139334,57
2011,6,MADHYA PRADESH,JABALPUR,9808,41498,110482,161787,66
2012,6,MADHYA PRADESH,JABALPUR,12029,47339,129175,188542,76
2013,6,MADHYA PRADESH,JABALPUR,15562,52336,148114,216012,85
2007,6,MADHYA PRADESH,BALAGHAT,8970,5674,13323,27967,17
2008,6,MADHYA PRADESH,BALAGHAT,10862,7393,15947,34202,21
2009,6,MADHYA PRADESH,BALAGHAT,11271,8264,19337,38871,23
2010,6,MADHYA PRADESH,BALAGHAT,13902,9779,24413,48094,29
2011,6,MADHYA PRADESH,BALAGHAT,17030,11447,29426,57903,34
2012,6,MADHYA PRADESH,BALAGHAT,21179,12917,36008,70104,41
2013,6,MADHYA PRADESH,BALAGHAT,27755,14343,41994,84092,48
2007,6,MADHYA PRADESH,CHHINDWARA,13865,11400,17236,42501,21
2008,6,MADHYA PRADESH,CHHINDWARA,16565,14724,20086,51375,25
2009,6,MADHYA PRADESH,CHHINDWARA,17030,16355,23689,57074,28
2010,6,MADHYA PRADESH,CHHINDWARA,15385,18847,28270,62501,30
2011,6,MADHYA PRADESH,CHHINDWARA,19338,21484,33245,74067,35
2012,6,MADHYA PRADESH,CHHINDWARA,24818,23014,39613,87445,41
2013,6,MADHYA PRADESH,CHHINDWARA,33774,25097,46288,105159,49
2007,6,MADHYA PRADESH,NARSINGHPUR,7838,3729,9162,20730,20
2008,6,MADHYA PRADESH,NARSINGHPUR,9396,4893,10732,25021,24
2009,6,MADHYA PRADESH,NARSINGHPUR,12052,5473,12720,30246,28
2010,6,MADHYA PRADESH,NARSINGHPUR,13200,6589,15302,35092,33
2011,6,MADHYA PRADESH,NARSINGHPUR,15694,7414,18018,41126,38
2012,6,MADHYA PRADESH,NARSINGHPUR,19134,8110,21515,48758,44
2013,6,MADHYA PRADESH,NARSINGHPUR,24770,8958,24772,58500,52
2007,6,MADHYA PRADESH,SEONI / SHIVANI,7669,3576,10084,21328,17
2008,6,MADHYA PRADESH,SEONI / SHIVANI,9095,4847,11848,25790,20
2009,6,MADHYA PRADESH,SEONI / SHIVANI,9570,5535,14107,29211,22
2010,6,MADHYA PRADESH,SEONI / SHIVANI,11783,7093,17291,36168,27
2011,6,MADHYA PRADESH,SEONI / SHIVANI,14394,7883,20575,42852,31
2012,6,MADHYA PRADESH,SEONI / SHIVANI,17926,9108,24796,51830,37
2013,6,MADHYA PRADESH,SEONI / SHIVANI,23609,10307,28604,62520,44
2007,6,MADHYA PRADESH,MANDLA,5150,2455,8064,15670,16
2008,6,MADHYA PRADESH,MANDLA,6522,3296,9606,19424,19
2009,6,MADHYA PRADESH,MANDLA,6457,3709,11529,21695,21
2010,6,MADHYA PRADESH,MANDLA,8327,4661,14215,27204,26
2011,6,MADHYA PRADESH,MANDLA,10519,5402,17157,33077,31
2012,6,MADHYA PRADESH,MANDLA,13531,6268,20583,40382,38
2013,6,MADHYA PRADESH,MANDLA,18421,7098,23981,49500,45
2007,6,MADHYA PRADESH,SAGAR,10106,15967,20283,46355,21
2008,6,MADHYA PRADESH,SAGAR,11668,20263,23864,55795,25
2009,6,MADHYA PRADESH,SAGAR,13675,21801,28058,63533,28
2010,6,MADHYA PRADESH,SAGAR,15448,24644,33362,73454,31
2011,6,MADHYA PRADESH,SAGAR,19093,29369,39300,87762,37
2012,6,MADHYA PRADESH,SAGAR,24122,32451,46054,102626,42
2013,6,MADHYA PRADESH,SAGAR,32304,35042,52501,119847,49
2007,6,MADHYA PRADESH,DAMOH,5523,4457,9928,19908,17
2008,6,MADHYA PRADESH,DAMOH,6176,5673,11263,23112,19
2009,6,MADHYA PRADESH,DAMOH,7352,6219,12660,26231,21
2010,6,MADHYA PRADESH,DAMOH,8256,7074,14989,30319,24
2011,6,MADHYA PRADESH,DAMOH,9841,7730,17322,34894,28
2012,6,MADHYA PRADESH,DAMOH,11931,8537,19871,40339,31
2013,6,MADHYA PRADESH,DAMOH,15246,9121,22670,47037,36
2007,6,MADHYA PRADESH,TIKAMGARH,6926,3476,7777,18179,14
2008,6,MADHYA PRADESH,TIKAMGARH,7897,4445,9021,21363,16
2009,6,MADHYA PRADESH,TIKAMGARH,8753,4968,10228,23949,17
2010,6,MADHYA PRADESH,TIKAMGARH,10133,5973,12340,28447,20
2011,6,MADHYA PRADESH,TIKAMGARH,12292,6858,14477,33628,23
2012,6,MADHYA PRADESH,TIKAMGARH,15255,7857,16903,40015,27
2013,6,MADHYA PRADESH,TIKAMGARH,20054,8799,19285,48138,32
2007,6,MADHYA PRADESH,CHHATARPUR,7618,5146,11981,24745,15
2008,6,MADHYA PRADESH,CHHATARPUR,8826,7001,13986,29812,18
2009,6,MADHYA PRADESH,CHHATARPUR,9949,7705,16283,33937,20
2010,6,MADHYA PRADESH,CHHATARPUR,11495,9732,19400,40626,23
2011,6,MADHYA PRADESH,CHHATARPUR,13709,11491,22724,47924,27
2012,6,MADHYA PRADESH,CHHATARPUR,16682,13518,26514,56715,32
