Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.255381636,0.939009579,0.48274085,0.268757978,1.334488894,0.424430416,0.25905211,0.047300023,0.060875077,-0.172259002,0.267080114,0.188558121,0.397940872,0.181656718,0.405795601,0.072067148,0.290535982,0.156802452,0.269234574,0.189121539,0.032481822,0.477452127,0.279039341,0.361219808,0.505653587,1.012120991,0.796685422,2.081710929,1.582677298,2.436394317,1.551906754,4.81750179,2.485313886,2.476162041,1.85813629,2.056512949,1.267154464,2.47173556,3.231767157,2.59918749,1.631386574,1.833492177,2.520561859,2.18528518,2.751251025,3.091590943,1.880272335,0.983380043,1.338009564,1.494767933,1.39672952,4.890938585,1.52833417
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.562933917,2.094318303,1.862293274,1.835642927,1.069677911,1.573801855,0.866240155,0.959628549,0.875994872,0.863457478,-0.275516176,0.43101823,0.481130391,0.56928302,0.30285369,0.785831545,0.191680749,0.946303069,0.631293842,1.891618888,0.700628379,0.652222424,1.006047755,1.424373233,1.793133948,0.460278166,0.506332525,0.516607827,0.58260247,1.564686241,1.826906484,2.185626053,2.496492093,2.573752761,1.836133989,2.992262129,2.323375368,2.798516826,2.873530722,3.571290554,3.15303834,3.591615018,2.834698047,2.296801593,1.85555454,2.033526739,2.013688927,2.576085261,2.016881352,1.512345404,1.366431075,2.053897519,1.437244662
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.472164795,-0.082709686,0.266894355,-0.806719044,-2.889652811,1.407658862,0.073567063,0.654971887,0.568906409,0.097484632,-0.492501823,1.773996074,2.942320004,1.529291221,1.578590033,0.484653807,0.658913576,0.026424077,0.383028158,0.277014904,0.471752189,0.445108396,0.721662148,0.873496129,0.929782212,0.054263894,0.596402497,1.356880977,1.48751983,0.424230192,0.468948879,1.110241569,0.763565961,1.635659232,2.014820354,3.534123312,4.496586168,4.55114915,3.92422924,3.858436902,2.985061045,1.74727049,1.814530165,1.453007132,1.075727898,1.004493956,1.289473423,1.148675069,1.213728914,1.359674642,1.482780135,1.902185317,1.548217376
Caribbean small states,CSS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,10.01804953,8.960771669,6.741168895,5.815166231,4.920103317,2.456520535,2.120380622,0.990358203,1.043046189,0.841903839,2.383415548,2.975131689,1.679054347,1.382370578,0.721382819,0.272882735,-0.180167898,0.576526085,0.347723173,0.626891101,2.080060595,2.920243164,3.2278197,3.401961454,4.380808004,3.752894978,3.457484891,5.930984437,5.206125612,5.175589059,4.944169817,5.72791059,5.717467489,5.840468658,5.805878103,6.660326369,6.686276323,6.318985845,9.348744404,5.024393266,3.984330323,3.191695935,0.906308815,1.232307278,3.996413653,3.866608429,4.046082957,2.578297202,3.701716889,5.200156495,5.702164283,3.852442219,6.266991334
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.07449279,1.155299192,1.350224185,2.189319915,1.762570613,3.192050214,2.706054012,3.486079267,4.380827388,5.080415641,5.497683959,4.614834082,5.014799488,3.217896944,5.640735576,8.433471724,8.149468007,12.12050967,9.052768796,2.37537426,1.606202465,3.422612388,2.876043154,1.098702598,3.661120096,1.777439982,8.740271712,2.001190571,-1.19023135,9.10350653,12.73819996,6.078934474,3.100683806
Early-demographic dividend,EAR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.654246257,0.642625112,0.264215377,0.426796206,-0.273369825,1.039661942,0.117065889,0.355614164,0.477476321,0.227602587,0.060573178,0.929531321,1.185259344,0.665105971,0.626181359,0.388793002,0.456072004,0.23680259,0.540609185,0.5208528,0.614214754,0.846923379,0.823101256,0.757568493,1.204440695,1.293521837,1.467562665,1.931675204,1.714533609,1.938654098,1.490983726,1.755784834,1.423225174,1.163662425,1.484872228,2.216007862,2.705992384,2.875386545,3.090954895,2.323422753,2.103182393,1.976895375,1.813830737,2.106463074,1.749503251,2.155938938,1.922775518,1.91997188,1.97361812,1.868287138,1.885397213,2.179714248,1.850694621
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.570771052,0.633179481,0.589322012,0.332490556,0.495238561,0.438400602,0.392700299,0.287033746,0.29056493,0.270473132,0.309893998,0.427411123,0.413396075,0.418699954,0.277912305,0.308927052,0.440183843,0.570007123,0.573564459,0.506304313,0.698243661,0.505178899,0.637438783,0.883384625,0.978730303,1.068372429,1.165070587,1.412607284,1.418222679,1.676740937,2.093428282,1.639258383,1.429456253,1.457908286,2.038731239,1.818227344,2.61553489,3.215720284,2.726221237,1.967217168,2.913472107,2.834931184,2.442363903,2.763753403,2.860683733,2.809353817,2.325658423,2.308677442,2.26619537,1.970109694,2.17388976,2.60455571,2.213287039
East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,0.231405881,0.287744292,0.466866147,0.489920061,0.561237473,0.546061462,0.562244602,0.596538825,0.687419982,1.008168144,1.15252814,1.494226549,1.75429248,2.438554745,3.649066268,4.249450872,3.841845816,3.863297718,4.040171957,4.158520183,3.366012246,2.773381557,2.83696295,3.10400567,2.960634096,3.106405087,4.165308348,4.08722503,4.095329883,3.539012261,2.405662901,3.782114948,3.497421258,2.833434176,3.0505598,2.577935608,2.299430634,1.619252384,1.613050005,1.871602376,1.518700493,1.733370744,2.100618484,1.238805247
East Asia & Pacific (IDA & IBRD countries),TEA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,0.231405881,0.287744292,0.466866147,0.489920061,0.561237473,0.546061462,0.562244602,0.596538825,0.687419982,1.008168144,1.15252814,1.494226549,1.75429248,2.438554745,3.649066268,4.249450872,3.841845816,3.863297718,4.040171957,4.158520183,3.366012246,2.773381557,2.83696295,3.10400567,2.960634096,3.106405087,4.165308348,4.08722503,4.095329883,3.539012261,2.405662901,3.782114948,3.497421258,2.833434176,3.0505598,2.577935608,2.299430634,1.619252384,1.613050005,1.871602376,1.518700493,1.733370744,2.100618484,1.238805247
Euro area,EMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,0.53568088,0.571836953,0.576312905,0.59774642,0.419925587,0.326902564,0.410486263,0.433436765,0.393480893,0.35732352,0.373025961,0.335077976,0.387602426,0.403130124,0.419604543,0.396871011,0.560994669,0.749288967,0.984278398,1.042975558,0.908854076,0.900085827,0.960588393,0.864738345,1.064763024,1.234609562,1.312502273,2.429734288,4.96739388,8.572891093,4.87252649,3.517681556,3.035085706,2.658623739,6.014870281,7.313192692,9.949888374,4.641262052,3.386407837,4.241401183,5.999755822,4.300651561,4.573352212,2.848865534,6.736712647,4.95056387,3.80041479,-0.422030165,2.606682111,-0.058782109,1.989123318,-0.234787491
